"State","County","Low_access._seniors_age_65+_at_1/2_mile._number","Low_access._seniors_age_65+_at_1/2_mile._share","Low_access._seniors_age_65+_at_1_mile._number","Low_access._seniors_age_65+_at_1_mile._share","Low_access._seniors_age_65+_at_10_miles._number","Low_access._seniors_age_65+_at_10_miles._share","Low_access._seniors_age_65+_at_20_miles._number","Low_access._seniors_age_65+_at_20_miles._share"
"MT","Cascade",426.994552524464,67.1015373468182,236.488917827568,35.4972053076631,53.0014076431727,9.70278808590909,30.2284780723682,6.02417888636364
"MT","Chouteau",355.127221923,71.75086408,306.504523371,62.524280865,285.7227308173,58.49211797,184.1318849553,37.941649815
"MT","Custer",302.06730144365,89.7829833283333,163.310115787583,48.548278335,23.22710572485,7.640495305,13.4427327097667,4.42195155
"MT","Daniels",434.9999961491,99.99999911,434.9999961491,99.99999911,434.9999961491,99.99999911,434.9999961491,99.99999911
"MT","Dawson",515.406786548233,95.92150205,382.424455171867,79.5271391533333,71.8728249584333,27.0198590066667,46.7866923722333,17.5889820933333
"MT","Deer Lodge",426.723398102533,72.8503242233333,202.1990426899,36.45038226,21.7565810497,3.99203322,1.42559292556667,0.261576683333333
"MT","Fallon",303.5196158361,60.222146,197.0098837735,39.08926265,135.1526041003,26.81599288,33.9280976701,6.73176541
"MT","Fergus",981.8357716516,82.076268285,624.644035991,57.946108405,337.3442337368,33.56659042,158.7981980775,15.80081573
"MT","Flathead",567.278968635011,81.5741543963158,394.9159248472,59.037110771579,22.8223024051053,3.26137989052632,6.44881917831579,0.942536795263158
"MT","Gallatin",303.047387229286,67.8018111836364,257.138321498477,57.886086077462,40.2942463750909,12.8328212845455,10.0533376431,4.72993996045455
"MT","Garfield",161.5020627353,65.12179949,157.0463846323,63.32515509,123.4082516967,49.76139181,93.5429420298,37.71892824
"MT","Glacier",261.74932318975,81.1009069775,153.6800933649,60.1907771725,70.5442097447,41.515808645,24.822142906325,6.04092759
"MT","Golden Valley",189.0000001777,100.00000009,189.0000001777,100.00000009,189.0000001777,100.00000009,176.6860476728,93.48468131
"MT","Granite",751.6543394014,99.82129341,747.2103305956,99.2311196,529.9527531144,70.37885168,76.62161386,10.17551313
