"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1413","MADISON","NY",3.96,9.58,0.14,0.73,NA
"1414","MADISON","OH",4.75,NA,0.17,0.91,NA
"1415","MADISON","TN",5.88,9.08,0.46,1.07,177.38
"1416","MADISON","TX",NA,NA,NA,NA,NA
"1417","MAHASKA","IA",NA,NA,NA,NA,NA
"1418","MAHNOMEN","MN",NA,NA,NA,NA,NA
"1419","MAHONING","OH",5.38,10.18,0.35,1.45,137.06
"1420","MAJOR","OK",NA,NA,NA,NA,NA
"1421","MALHEUR","OR",6.83,9.61,0.15,0.92,NA
"1422","MANASSAS CITY","VA",5.26,9.63,0.14,0.75,134.45
"1423","MANATEE","FL",4.21,9.48,0.17,0.9,144.44
"1424","MANATI","PR",NA,NA,NA,NA,NA
"1425","MANISTEE","MI",4.2,NA,0.16,0.91,NA
"1426","MANITOWOC","WI",5.31,9.25,0.16,0.88,NA
"1427","MARATHON","WI",5.8,10.26,0.13,0.95,138.69
"1428","MARENGO","AL",5.02,NA,0.12,0.77,NA
"1429","MARICOPA","AZ",9.27,16.45,0.36,1.43,165.24
"1430","MARIN","CA",5.58,12.28,0.21,0.92,145.46
"1431","MARINETTE","WI",3.8,9.32,0.14,0.69,NA
"1432","MARION","AL",4.71,NA,0.17,0.89,NA
"1433","MARION","FL",3.42,8.32,0.18,0.77,127.5
"1434","MARION","IA",NA,NA,NA,NA,NA
"1435","MARION","IL",4.39,11.47,0.14,0.78,NA
"1436","MARION","IN",6.59,21.43,0.17,1.07,158.58
"1437","MARION","KS",NA,NA,NA,NA,NA
"1438","MARION","KY",4.27,NA,0.16,0.81,NA
"1439","MARION","MO",5.59,10.38,0.14,0.89,120.65
"1440","MARION","MS",NA,NA,0.17,0.88,NA
"1441","MARION","OH",4.03,8.89,0.13,0.75,128.39
"1442","MARION","OR",6.08,13.4,0.17,1.04,121.29
"1443","MARION","SC",4.22,NA,0.15,0.8,NA
"1444","MARION","WV",5.02,11.07,0.27,0.83,NA
"1445","MARIPOSA","CA",NA,NA,NA,NA,NA
"1446","MARQUETTE","MI",3.46,6.57,0.09,0.9,155.58
"1447","MARSHALL","AL",5.63,9.18,0.11,0.85,179.05
"1448","MARSHALL","IA",3.51,11.43,0.15,0.77,NA
"1449","MARSHALL","IN",4.19,NA,0.16,0.98,NA
"1450","MARSHALL","KS",NA,NA,NA,NA,NA
"1451","MARSHALL","KY",NA,NA,NA,NA,NA
"1452","MARSHALL","MN",NA,NA,NA,NA,NA
"1453","MARSHALL","MS",NA,NA,0.17,0.9,NA
"1454","MARSHALL","OK",NA,NA,NA,NA,NA
"1455","MARSHALL","SD",NA,NA,NA,NA,NA
"1456","MARSHALL","TN",NA,NA,NA,NA,NA
"1457","MARSHALL","WV",5.54,NA,0.16,0.95,NA
"1458","MARTIN","FL",5.74,10.55,0.13,0.95,91.18
"1459","MARTIN","MN",5.31,9.79,0.17,0.92,NA
"1460","MARTIN","NC",5.75,9.73,0.16,0.88,NA
"1461","MARTIN","TX",NA,NA,NA,NA,NA
"1462","MASON","IL",NA,NA,NA,NA,NA
"1463","MASON","KY",5.41,9.1,0.15,0.77,113.49
"1464","MASON","MI",4.47,9.56,0.15,0.71,NA
"1465","MASON","WA",NA,NA,NA,NA,NA
"1466","MASON","WV",4.45,9.89,0.29,0.78,NA
"1467","MASSAC","IL",NA,NA,NA,NA,NA
"1468","MATAGORDA","TX",4.09,NA,0.16,0.78,NA
"1469","MATANUSKA SUSITNA","AK",5.02,9.94,0.14,0.84,NA
"1470","MAUI","HI",2.7,9.29,0.13,0.85,161.87
"1471","MAURY","TN",2.51,9.33,0.09,0.58,94.72
"1472","MAVERICK","TX",4.83,9.37,0.15,0.77,142.28
"1473","MAYAGUEZ","PR",NA,NA,NA,NA,NA
"1474","MAYES","OK",4.98,NA,0.17,0.87,NA
"1475","MCCLAIN","OK",NA,NA,0.17,0.89,NA
"1476","MCCONE","MT",NA,NA,NA,NA,NA
"1477","MCCRACKEN","KY",4.78,6.83,0.19,1.14,154.4
"1478","MCCULLOCH","TX",NA,NA,NA,NA,NA
"1479","MCCURTAIN","OK",NA,NA,0.17,0.95,NA
"1480","MCDONOUGH","IL",3.85,9.35,0.16,0.8,NA
"1481","MCDOWELL","NC",5.64,NA,0.16,0.92,NA
"1482","MCDOWELL","WV",NA,NA,0.17,0.95,NA
"1483","MCDUFFIE","GA",4.57,NA,0.17,0.79,NA
"1484","MCHENRY","IL",4.9,9.07,0.13,0.76,121
"1485","MCINTOSH","ND",NA,NA,NA,NA,NA
"1486","MCINTOSH","OK",NA,NA,0.17,0.9,NA
"1487","MCKEAN","PA",6.15,11.13,0.17,0.96,NA
"1488","MCKENZIE","ND",NA,NA,NA,NA,NA
"1489","MCKINLEY","NM",4.52,NA,0.17,0.9,NA
"1490","MCLEAN","IL",4.83,9.79,0.31,0.87,149.52
"1491","MCLEAN","ND",NA,NA,NA,NA,NA
"1492","MCLENNAN","TX",7.45,13.98,0.11,1.29,141.92
"1493","MCLEOD","MN",5.6,9.8,0.17,0.87,NA
"1494","MCMINN","TN",5.91,9.58,0.15,0.9,NA
"1495","MCNAIRY","TN",NA,NA,0.17,0.89,NA
"1496","MCPHERSON","KS",4.94,NA,0.17,0.9,NA
"1497","MCPHERSON","SD",NA,NA,NA,NA,NA
"1498","MEADE","KS",NA,NA,NA,NA,NA
"1499","MEADE","SD",NA,NA,NA,NA,NA
"1500","MEAGHER","MT",NA,NA,NA,NA,NA
"1501","MECKLENBURG","NC",5.47,11.08,0.49,0.94,148.13
"1502","MECKLENBURG","VA",4.43,11.72,0.14,0.74,NA
"1503","MECOSTA","MI",4.96,11.49,0.16,0.94,NA
"1504","MEDINA","OH",4.4,8.76,0.33,0.75,NA
"1505","MEDINA","TX",NA,NA,NA,NA,NA
"1506","MEEKER","MN",NA,NA,NA,NA,NA
"1507","MENDOCINO","CA",4.7,9.58,0.14,1.03,NA
"1508","MERCED","CA",5.11,8.56,0.46,0.86,126.1
"1509","MERCER","IL",NA,NA,NA,NA,NA
"1510","MERCER","KY",NA,NA,NA,NA,NA
"1511","MERCER","ND",NA,NA,NA,NA,NA
"1512","MERCER","NJ",12.2,11.51,0.33,1.35,147.19
"1513","MERCER","OH",4.03,9.77,0.16,0.76,NA
"1514","MERCER","PA",4.95,8.75,0.17,0.88,NA
"1515","MERCER","WV",7.24,10.12,0.14,0.92,146.24
"1516","MERIWETHER","GA",NA,NA,NA,NA,NA
"1517","MERRICK","NE",NA,NA,NA,NA,NA
"1518","MERRIMACK","NH",2.27,10.46,0.26,0.85,135.14
"1519","MESA","CO",6.97,10.59,0.16,1.19,119.91
"1520","MIAMI","IN",NA,NA,NA,NA,NA
"1521","MIAMI","KS",4.84,NA,0.17,0.87,NA
"1522","MIAMI","OH",4.45,10.54,0.14,0.7,141.1
"1523","MIAMI-DADE","FL",9.23,13.11,0.65,1.45,212.16
"1524","MIDDLESEX","CT",7.35,NA,0.18,1.09,109.09
"1525","MIDDLESEX","MA",8.8,14.57,0.32,1.12,141.09
"1526","MIDDLESEX","NJ",12.11,13.73,0.36,1.22,173.33
"1527","MIDLAND","MI",3.62,11.07,0.09,0.75,116.14
"1528","MIDLAND","TX",3.85,7.55,0.11,0.96,154.55
"1529","MIFFLIN","PA",5.55,9.78,0.15,0.91,NA
"1530","MILAM","TX",NA,NA,0.17,0.9,NA
"1531","MILLARD","UT",NA,NA,NA,NA,NA
"1532","MILLE LACS","MN",NA,NA,NA,NA,NA
"1533","MILLER","GA",NA,NA,NA,NA,NA
"1534","MILWAUKEE","WI",8.93,11.58,0.3,1.25,147.54
"1535","MINERAL","MT",NA,NA,NA,NA,NA
"1536","MINERAL","NV",NA,NA,NA,NA,NA
"1537","MINERAL","WV",NA,NA,NA,NA,NA
"1538","MINGO","WV",5.03,NA,0.17,0.86,NA
"1539","MINIDOKA","ID",NA,NA,NA,NA,NA
"1540","MINNEHAHA","SD",6.17,12.2,0.17,0.94,127.5
"1541","MISSISSIPPI","AR",4.98,NA,0.16,0.9,NA
"1542","MISSOULA","MT",4.63,11.79,0.14,0.9,126.12
"1543","MITCHELL","GA",NA,NA,NA,NA,NA
"1544","MITCHELL","IA",NA,NA,NA,NA,NA
"1545","MITCHELL","KS",NA,NA,NA,NA,NA
"1546","MITCHELL","NC",NA,NA,NA,NA,NA
"1547","MITCHELL","TX",NA,NA,NA,NA,NA
"1548","MOBILE","AL",11.87,10.32,0.32,1.26,180.64
"1549","MOCA","PR",NA,NA,NA,NA,NA
"1550","MODOC","CA",NA,NA,NA,NA,NA
"1551","MOFFAT","CO",NA,NA,NA,NA,NA
"1552","MOHAVE","AZ",5.46,12.9,0.15,0.95,159.89
"1553","MONMOUTH","NJ",7.61,9.86,0.44,0.98,159.25
"1554","MONO","CA",NA,NA,NA,NA,NA
"1555","MONONA","IA",NA,NA,NA,NA,NA
"1556","MONONGALIA","WV",7.86,11.06,0.26,1.09,156.08
"1557","MONROE","AL",NA,NA,0.17,0.87,NA
